 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
22 34.0 -6801.121747627467 -6919.496586262773 -6925.3527433100635 -6878.324672976098 -93427.92253827126 -102245.43985670089 -105249.22373881623 -130756.54277283464 -6988.652883607493 -6979.6451305920045 -7169.7690689288465 -6764.666052420861 -36969.807680822334 -75458.52815610507 -31873.87816594579 -81615.36086980831 0.23600000000000002 0.908 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2998588 0.0
23 36.0 -6774.590226959018 -6930.270127090232 -6928.861967189547 -6901.838708143081 -93434.09161974092 -102263.88004587652 -105207.49303191817 -130806.54362518116 -7271.827134111779 -7195.674740752547 -7282.578323194782 -7108.391178654573 -37436.48975330469 -75684.23607161475 -32432.47061162837 -82062.39575891444 0.23600000000000002 0.908 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.299874 0.0
24 38.0 -6769.359918756476 -6915.182699582899 -6923.743417709282 -6882.280931744687 -93431.72233482866 -102259.49910396327 -105271.53077978264 -130770.60202009702 -6994.4419854214175 -6990.016340019267 -7176.318130054251 -6775.797221159604 -36979.1283582602 -75461.25506892861 -31867.038532142466 -81612.00810814001 0.234 0.908 0.294 192.0 3.5 40.0 14.0 48.0 4.5 24.0 0.0 0.0 0.0 1713409352.2998905 0.0
25 40.0 -6813.929297200358 -6941.445999317885 -6937.489740549296 -6904.587972711083 -93437.33262268694 -102256.86159811755 -105193.0314532556 -130799.16754951091 -7265.300424730829 -7186.018787147855 -7278.443250470549 -7095.538925592772 -37422.98929965369 -75682.04560065814 -32433.69995757341 -82061.99342751426 0.234 0.908 0.294 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2999065 0.0
26 42.0 -6736.569909640541 -6909.527708235706 -6920.3012490631645 -6884.873734101503 -93433.48812264063 -102271.32317678013 -105289.07689918004 -130783.29781094764 -7011.362255974085 -7009.082378039644 -7188.589237760215 -6799.780642960149 -37005.59282369528 -75473.30265919003 -31880.829558471392 -81625.64267225775 0.234 0.908 0.294 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2999225 0.0
27 44.0 -6848.887425528458 -6949.0902959216 -6943.055324918667 -6904.118586077522 -93437.71260234268 -102247.20564451285 -105178.63692982637 -130788.25989821673 -7247.307270444307 -7167.332728783218 -7268.429668954572 -7069.521495046794 -37391.92037486081 -75669.84154818553 -32412.778724763244 -82043.55323833863 0.234 0.908 0.294 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2999403 0.0
28 46.0 -6706.70797904825 -6904.811490155636 -6917.261411817242 -6887.846516114058 -93435.23155870814 -102282.29788330769 -105303.359663887 -130796.2171192428 -7033.512834729295 -7031.0094393503 -7201.173269888553 -6830.044904952634 -37042.42849855763 -75489.5747291535 -31909.663308818737 -81650.90014349224 0.234 0.908 0.294 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2999563 0.0
29 48.0 -6876.760050864226 -6951.548987811683 -6943.99409818579 -6898.84357438607 -93434.33748892993 -102234.30868796214 -105163.1695226633 -130772.65838058692 -7218.920554986067 -7141.069429048232 -7253.319889702784 -7032.4175992509845 -37345.60756034942 -75648.47328048626 -32371.18212833192 -82008.19277861033 0.23800000000000002 0.914 0.302 192.0 3.5 56.0 14.0 72.0 4.5 56.0 0.0 0.0 0.0 1713409352.2999723 0.0
30 50.0 -6681.60697002494 -6901.41402499843 -6914.936830393891 -6891.065167315623 -93436.66207035328 -102291.81972644565 -105313.21678319178 -130808.73409613778 -7060.893721687045 -7055.685765228959 -7213.846708994712 -6866.679414114883 -37089.0542374914 -75509.73600265218 -31953.338617484405 -81687.13232125429 0.23800000000000002 0.914 0.302 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2999885 0.0
31 52.0 -6901.570487209617 -6955.840522747103 -6947.570377298639 -6896.898972618458 -93434.29278544102 -102226.95496403635 -105156.8663307269 -130761.862488015 -7187.069319137254 -7114.336742679685 -7239.752380818413 -6990.91040979748 -37291.896318423314 -75624.98159706374 -32316.554464883146 -81964.09278680001 0.23800000000000002 0.914 0.302 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.3000045 0.0
32 54.0 -6664.284368072077 -6900.251734286754 -6913.931001893402 -6894.88731561748 -93438.47256165417 -102299.66518874947 -105317.95535301631 -130819.86526487653 -7095.449518614951 -7084.586570809672 -7229.2917644133295 -6910.354722780553 -37145.782964918966 -75536.08870936498 -32012.72720250216 -81735.41208927776 0.23800000000000002 0.914 0.302 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.3000205 0.0
33 56.0 -6920.435359529896 -6960.37792687153 -6951.928967467424 -6896.943676107368 -93436.59501511992 -102224.18334772388 -105158.38624934987 -130755.1569646784 -7151.3959349865845 -7085.860620243624 -7225.849595767212 -6945.759885997759 -37232.17245723873 -75597.75717231717 -32250.52741176217 -81911.29796639657 0.23700000000000002 0.914 0.299 192.0 3.5 48.0 14.0 72.0 4.5 32.0 0.0 0.0 0.0 1713409352.300037 0.0
34 58.0 -6659.076411613991 -6904.967952366824 -6918.1331298509995 -6902.5763157101055 -93444.01579427908 -102308.53883129822 -105321.01754200668 -130832.80692491615 -7138.096647035676 -7119.477643904405 -7250.05653501231 -6962.076659450133 -37212.50292211806 -75570.44334059278 -32087.583194682982 -81796.63351734084 0.23700000000000002 0.914 0.299 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.300053 0.0
35 60.0 -6927.543214266684 -6960.467333849351 -6952.912444223457 -6894.730853406293 -93436.66207035328 -102221.70230408935 -105163.25892964113 -130748.60790355301 -7116.8848415475895 -7060.245521097841 -7213.936115972533 -6903.157461065944 -37173.54383153246 -75571.22565164873 -32180.387637661417 -81856.02210235859 0.23700000000000002 0.914 0.299 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.3000689 0.0
36 62.0 -6655.433077267776 -6904.632676199994 -6916.769673439226 -6903.448033743863 -93442.6076343784 -102308.2482586203 -105312.50152736921 -130836.629073218 -7173.814734675257 -7146.03151631731 -7262.975843307477 -7005.617857649071 -37272.00326585809 -75598.45007639528 -32159.8910879959 -81853.96574186871 0.23700000000000002 0.914 0.299 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.3000872 0.0
37 64.0 -6924.36926655403 -6958.209807659365 -6952.018374445245 -6892.428623727396 -93436.75147733111 -102222.26109770073 -105173.4736768572 -130744.89751397342 -7080.272684129797 -7033.512834729295 -7200.189793132519 -6859.526855889185 -37113.95408081461 -75541.83310768999 -32105.442238502772 -81796.6558690853 0.23700000000000002 0.914 0.299 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.300106 0.0
38 66.0 -6663.278539571588 -6908.32071403512 -6918.51310950674 -6906.264353545232 -93443.12172450087 -102307.08596790863 -105301.07978595255 -130839.5347999972 -7209.644581037114 -7171.490153251905 -7276.141020791652 -7047.750895947325 -37330.1625049308 -75627.59675116501 -32235.32822553256 -81913.30962339755 0.23650000000000002 0.914 0.2955 192.0 3.5 48.0 14.0 72.0 4.5 16.0 0.0 0.0 0.0 1713409352.300122 0.0
39 68.0 -6910.801757669659 -6953.225368645832 -6949.067944177144 -6889.858173115036 -93436.14798023082 -102225.23387971328 -105187.84584854197 -130744.00344419522 -7048.0638203697 -7011.563421674183 -7188.969217415955 -6822.5123670711955 -37061.65099878919 -75515.23453178818 -32034.877781257368 -81741.08943236941 0.23650000000000002 0.914 0.2955 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.300138 0.0
