ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
-6678.142449634368,-7054.277605328275,-6741.844921331993,-6877.005920053234,-93197.81132910388,-90450.75958380218,-72293.85641740041,-106365.22398772526,-6787.062500365079,-6785.050843364102,-7335.194329642574,-6780.491087495218,-93671.86947725648,-94693.47830933075,-44758.273036274084,-49985.407291103285
-6637.685792170262,-6777.2500845491995,-6764.643700676406,-6769.426973989842,-93407.87302349485,-90301.7628552631,-72332.27906611908,-106181.04561341353,-6998.442947678918,-7045.2698523127865,-6645.866530640904,-6923.408141542452,-94063.09206045773,-95261.72670861802,-45477.70863505705,-50032.07773352596
-6690.570019551518,-6983.355520171585,-6734.312383450554,-6835.498730599729,-93248.79565820642,-90411.66638274984,-72296.85155115742,-106307.2435626082,-6767.035337333124,-6781.608674717984,-7368.252559691973,-6773.942026369814,-93660.20186665081,-94654.96625363425,-44728.500512659615,-49987.86598299337
-6628.655687410318,-6853.715402330805,-6773.830267647537,-6814.3539803450085,-93357.62630195932,-90345.95225405124,-72331.89908646335,-106243.83166358848,-7015.2738112537645,-7044.912224401502,-6625.191167019745,-6928.794911956181,-94069.01527273838,-95290.85103164328,-45495.746492832484,-50030.60251839191
-6702.774072024116,-6908.901859390958,-6730.020848515135,-6794.572686502062,-93306.15023447874,-90371.4332427303,-72303.13239134937,-106248.12319852391,-6757.871122106448,-6790.124689355456,-7379.361376686261,-6775.439593248319,-93665.43217485335,-94640.6387854384,-44727.62879462586,-49994.37034062986
-6616.988076804648,-6928.481987533807,-6776.601883959996,-6854.184788964366,-93299.4223593977,-90386.47596674872,-72325.43943231576,-106302.68380673931,-7022.24755552382,-7034.496311485328,-6629.259184510611,-6927.543214266684,-94059.89576100062,-95296.75189217948,-45486.22464969452,-50026.42274217877
-6709.658409316351,-6831.050733453123,-6724.432912401308,-6752.059668548068,-93361.1355258388,-90328.070858487,-72307.33451930697,-106186.90177046083,-6752.551406926085,-6801.948762172314,-7359.222454932029,-6776.4901252377185,-93678.97733199327,-94643.52216047313,-44747.76771638009,-49996.35964588638
-6611.869527324382,-7004.947305315412,-6780.938122384325,-6894.820260384115,-93245.59935874931,-90429.36896435845,-72321.52787703609,-106362.2512057127,-7019.922974100468,-7015.743197887326,-6658.69643195825,-6921.150615352466,-94037.43225782303,-95280.09984256027,-45450.90889345514,-50021.3041926985
-6717.034484986602,-6761.693270408306,-6724.47761589022,-6717.705037320261,-93417.05959046599,-90291.23518362465,-72315.98464441118,-106134.62104017986,-6761.179180285833,-6826.334515373053,-7319.63751550168,-6788.090680610023,-93710.13566376397,-94673.45114629879,-44797.47799604869,-50005.0544744795
-6607.9132685557925,-7071.823724725691,-6781.206343317788,-6927.61026950005,-93194.30210522439,-90465.66819735387,-72314.95646416623,-106412.5649824816,-7010.334075729142,-6991.916238297968,-6713.458205873752,-6911.762882681237,-94004.86576615165,-95243.86766479822,-45393.956648583015,-50017.32558218546
-6715.827490786015,-6696.739101021183,-6721.348371666476,-6684.713862504228,-93461.04782355402,-90254.71243318469,-72319.44916480174,-106085.7377750561,-6773.472639736252,-6852.061373241112,-7253.34224144724,-6799.065387137579,-93746.90428339294,-94718.33344916505,-44863.30388346957,-50009.27895418155
-6604.649913865318,-7124.327972451208,-6776.646587448906,-6950.140827910999,-93148.4363256021,-90492.91497384489,-72305.56873149499,-106449.87004397751,-6987.9823312738345,-6958.433325103918,-6783.4191660188635,-6893.680321416894,-93958.26237896233,-95184.3673210582,-45313.2444993549,-50008.384884403335
-6712.117101206434,-6647.02882135258,-6721.750703066672,-6662.228007582189,-93496.83296642697,-90227.53271192702,-72324.23243811517,-106050.3326118389,-6792.717491712272,-6880.984530566279,-7169.009109617366,-6812.387026832942,-93790.75840601425,-94779.44311850585,-44945.223026898275,-50012.251736194106
-6612.025989535569,-7168.115039839154,-6777.048918849101,-6969.944473498402,-93120.8319211998,-90518.53007299067,-72303.84764717193,-106480.96132051485,-6962.993080972801,-6926.202109599365,-6872.35675720653,-6877.140030519967,-93909.7143900054,-95114.38400916863,-45223.01050698883,-50004.0039424901
-6707.982028482203,-6617.345704715933,-6727.0704182470345,-6652.79557142205,-93523.09626616196,-90212.98172628663,-72331.36264459642,-106032.25005057456,-6825.35103861702,-6919.116606607033,-7080.250332385342,-6835.096399199534,-93846.57071191916,-94859.97645377833,-45045.26943508023,-50022.22061422117
-6618.955030316714,-7189.4386040495165,-6771.86331413547,-6975.2418369343095,-93102.99522912446,-90530.0188696407,-72299.0643738585,-106493.21007647635,-6931.968859668835,-6892.026292327201,-6968.648072319994,-6857.559902377117,-93857.00897657979,-95033.31423202924,-45124.193444751916,-49998.684227309735
-6698.460185344242,-6604.649913865318,-6731.920746793837,-6652.482646999675,-93533.44512384477,-90207.28203145052,-72335.4753655762,-106027.73499819459,-6857.917530288402,-6952.398354100986,-6981.969712015357,-6854.654175597928,-93899.25377360031,-94943.41551582998,-45145.2040845399,-50026.936832301246
-6630.443826966743,-7192.769013973358,-6767.169447799855,-6971.33028165463,-93101.54236573487,-90532.54461676415,-72297.45504825772,-106491.39958517547,-6897.7036354188485,-6859.325690189086,-7066.749878734337,-6837.555091089617,-93804.9964672323,-94947.86351297659,-45024.50466448125,-49994.415044118774
-6686.412595082831,-6612.271858724578,-6738.38040094142,-6663.166780849312,-93529.06418193152,-90212.64645011979,-72338.35874061093,-106039.1790913557,-6894.261466772731,-6984.786031816725,-6886.684225402382,-6875.642463641461,-93951.37804167009,-95030.27439478331,-45244.557588643744,-50032.32360271497
-6641.709106172217,-7173.7029759529805,-6759.212226773767,-6954.5217698242395,-93112.76294145142,-90521.74872419224,-72294.90694938981,-106471.59593958806,-6862.231416968277,-6829.664925296895,-7159.822542646235,-6817.751445502216,-93756.35907129754,-94863.21745672435,-44930.18030287985,-49990.59289581691
-6674.722632732705,-6641.105609071924,-6747.745781868194,-6686.189077638278,-93512.63564975688,-90230.86312185087,-72342.11383367942,-106067.81167600295,-6930.068961390133,-7012.077511796655,-6798.663055737384,-6894.484984217284,-93997.42263524803,-95112.77468356786,-45334.85863624318,-50035.54225391654
-6654.494304000653,-7136.017934801333,-6750.606805158473,-6927.923193922424,-93138.0874679193,-90500.53691870415,-72293.7670104226,-106437.375418827,-6829.955497974814,-6807.268477352676,-7243.485122142449,-6801.30056158311,-93716.57296616709,-94786.95330464284,-44849.35639492946,-49989.028273705044
-6658.182341835778,-6683.596275281463,-6753.333717982021,-6713.726426807217,-93478.99627435164,-90254.6006744624,-72340.01276970062,-106105.47436541015,-6959.126229182033,-7029.221299793876,-6720.364894910443,-6907.314885534631,-94031.12906588663,-95181.77451870138,-45406.13834931116,-50034.35761146041
-6666.921873917803,-7081.278512630286,-6741.263775976155,-6892.763899894226,-93174.76668057045,-90469.66915961137,-72293.54349297805,-106390.36970023748,-6799.758291215693,-6790.348206800009,-7308.908678163133,-6787.353073042998,-93685.34757916303,-94721.23917594424,-44784.491632520156,-49988.4471283492
-6641.351478260932,-6740.257947475666,-6758.139343039911,-6747.522264423641,-93433.68928834073,-90285.44608181073,-72335.92240046531,-106153.21769156668,-6984.070775994155,-7039.234881309853,-6661.758620948627,-6916.903783905957,-94054.21841790897,-95237.07273448381,-45458.26261738093,-50032.12243701487
-6677.784821723083,-7013.128043786054,-6731.451360160275,-6851.234358696265,-93220.09601832581,-90430.95593821477,-72293.92347263377,-106333.5515658321,-6772.109183324478,-6778.3676717719645,-7349.745315282979,-6773.696157180805,-93662.81702075207,-94668.846686941,-44738.67055638678,-49985.250828892094
-6627.895728098837,-6809.570707031573,-6764.3978314873975,-6787.665997465372,-93382.68260749371,-90324.04754448505,-72332.59199054146,-106210.05817771652,-7003.941476814924,-7042.207663322409,-6627.649858909829,-6923.22932758681,-94065.97543549245,-95275.51773494694,-45488.32571367332,-50029.797855591525
-6692.581676552496,-6942.295365607187,-6727.696267091784,-6812.0070471772015,-93276.7129870311,-90393.22619357421,-72300.83016167047,-106276.6887279378,-6756.775886628138,-6780.289921795121,-7371.605321360269,-6770.365747256965,-93658.74900326121,-94641.51050347215,-44722.59965212341,-49989.00592196059
-6617.703332627218,-6885.812507368625,-6770.499857723697,-6830.44723635283,-93327.98788881158,-90366.67232116131,-72329.06041491752,-106271.21255054625,-7017.643096166026,-7038.497273742828,-6621.011390806603,-6927.073827633122,-94066.10954595919,-95294.91904913414,-45494.31598118734,-50028.81437883549
-6701.410615612343,-6864.801867580637,-6721.95186876677,-6769.002290845191,-93332.45823770264,-90350.26614073112,-72305.07699311698,-106215.24378243016,-6749.645680146895,-6790.415262033375,-7367.000862002476,-6771.371575757454,-93668.06968069907,-94635.69904991378,-44732.2556057281,-49993.07393945145
