ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
-6615.646972137329,-7138.789551113791,-6792.449270778808,-6970.682081065426,-93144.30125287786,-90498.03352332515,-72298.32676629147,-106459.05661094864,-6996.744215100314,-6966.994043230301,-6794.572686502062,-6905.482042489296,-93962.95624529794,-95200.28176311038,-45317.558386034776,-50008.78721580353
-6739.028601530624,-6668.777068707594,-6740.615575386951,-6677.896580445359,-93499.22460308368,-90220.02252579005,-72322.19842936975,-106054.28887060749,-6804.318047084576,-6891.668664415916,-7188.008092404377,-6823.629954293961,-93795.49697583879,-94790.14960409995,-44948.88871298894,-50014.10693098389
-6619.9385070727485,-7180.296740567296,-6790.303503311098,-6988.295255696208,-93113.6793629741,-90521.77107593669,-72293.8117139115,-106488.38209967401,-6972.246703177298,-6934.114627136544,-6884.449050956852,-6886.348949235553,-93912.95539295142,-95127.5044831639,-45226.51973086831,-50002.595782589415
-6735.944060795791,-6639.853911382426,-6747.1422847679005,-6669.469972785709,-93527.38780109737,-90206.18679597221,-72330.64738877385,-106036.8768616768,-6834.291736399143,-6928.258470089254,-7096.187126181976,-6846.78636154966,-93850.48226719884,-94871.35349170608,-45047.415202547934,-50023.87464331087
-6630.64499266684,-7205.621267035159,-6788.4036050323975,-6996.744215100314,-93098.88250814468,-90536.23265459927,-72292.5153127331,-106504.00596904826,-6946.273976120231,-6903.939772121879,-6986.373005673052,-6868.713422860315,-93863.3568720051,-95047.84286592518,-45131.390706466525,-50000.494718610615
-6725.99753451318,-6626.8675478538935,-6752.57375867054,-6669.648786741351,-93538.42956285829,-90201.31411568096,-72335.16244115382,-106032.89825116376,-6867.081745515078,-6962.769563528248,-6997.48182266734,-6869.1157542605115,-93905.04287541425,-94958.07826019268,-45148.82506714166,-50030.87073932538
-6637.752847403628,-7204.034293178832,-6778.144154327411,-6986.484764395329,-93092.02052259691,-90531.5164365192,-72285.3627545074,-106495.89228581099,-6911.628772214505,-6870.099231016545,-7084.765384765314,-6845.869940026992,-93809.15389170097,-94958.70410903743,-45030.11495233953,-49994.14682318531
-6710.351313394465,-6631.40495197832,-6756.664127905861,-6678.433022312287,-93531.90285347735,-90205.49389189409,-72335.52006906511,-106042.55420476846,-6897.144841807466,-6989.52460164125,-6895.133184806488,-6885.41017596843,-93951.93683528148,-95040.62325246612,-45242.680042109496,-50031.00484979211
-6650.560396976519,-7185.884676681123,-6770.276340279143,-6968.692775808904,-93103.68813320258,-90519.04416311314,-72283.12758006186,-106475.35103265656,-6876.2236089972985,-6839.991431235246,-7178.41919403305,-6824.501672327719,-93759.48831552129,-94871.644064384,-44934.82946572655,-49989.27414289405
-6690.815888740527,-6653.287309800066,-6759.636909918418,-6695.666217287328,-93508.79114971057,-90218.86023507836,-72332.70374926373,-106065.44239109069,-6929.532519523206,-7013.999761819811,-6802.865183694981,-6902.1069290765445,-93995.34392301369,-95121.4024569276,-45330.20947339648,-50032.010678292594
-6664.50788551663,-7148.400801229573,-6761.223883774744,-6940.730743495315,-93129.03501141489,-90495.39601747943,-72282.09939981693,-106439.78940722816,-6840.282003913165,-6813.817538478082,-7258.952529305521,-6804.027474406657,-93715.45537894433,-94790.3731215445,-44849.91518854084,-49984.490869580615
